PC1,PC2,PC3,PC4,PC5,onetsoc_code
-3.5893438,5.1960316,-4.334106,-0.44330403,0.6279701,27-3042.00
-6.367499,7.6044283,0.102374874,-0.079681285,3.4119854,27-3043.00
-4.92159,6.679859,-1.7640063,-4.1015387,4.4109473,27-3043.05
-4.531352,3.7447784,2.7126098,-2.3441572,-1.1482285,27-3091.00
1.5795383,8.63565,-2.8221726,-0.31140816,-4.7483253,27-3092.00
1.6184324,-2.8466094,-0.30078632,-0.24200337,2.2649937,27-4011.00
2.8323014,-3.0378256,-2.7537253,-0.42465952,0.082137905,27-4012.00
-0.017968277,-1.7481977,-1.115303,0.0062816404,2.7107239,27-4014.00
0.9631314,-0.037256192,0.7312244,1.6783706,4.9130707,27-4021.00
3.6099353,-1.4819022,1.2606409,-0.2904885,2.2838511,27-4031.00
-3.0527964,1.8063594,-1.9163378,0.47691637,4.2204537,27-4032.00
-4.2496595,-0.45910925,4.0079675,-2.632649,-0.16912684,29-1011.00
-3.2437696,-7.7934136,3.0911148,-1.8076469,-0.8575185,29-1021.00
-3.3795676,-6.096048,3.0600615,-3.621459,-0.3524027,29-1022.00
-4.705182,-3.723188,0.8580882,-2.5442538,-0.45003328,29-1023.00
-1.858892,-2.7373421,1.4859589,-2.7620773,2.2341201,29-1024.00
-10.022246,-0.5893877,1.5858597,-2.1253028,0.4211885,29-1031.00
-6.226574,-3.8554938,1.4314922,-2.341111,-1.7923491,29-1041.00
-6.7888365,-2.8836427,1.2452852,-2.7061665,-2.1798093,29-1051.00
-7.188257,-3.2954905,4.619932,-4.4728255,-1.468518,29-1071.00
